ID,Health,damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),time of kills,total kills,total deaths,avg kill time,assists,team,positioning type,last x,last y,alone kills,distance to A bomb (on kill list),Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled,Role
76561198342446296,0,860,8,2,4,2,0,0,7,1,5,"[526.5366, 1231.787, 1280.305, 1314.715, 1340.366, 1952.333, 2151.13, 2155.228]",8,10,232.6702,2,Terrorist,VIC,197.24727627217774,365.05898154633087,2,"[160.39188570146993, 246.49272849975543, 95.96244570914034, 246.0232971477011, 51.81839835994742, 219.95193806539234, 659.571769583696, 620.426585450428]",298.38944282127983,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,5,4844.672722155738,
76561198360085352,0,1106,10,10,0,0,0,0,10,0,5,"[425.287, 533.3436, 536.3443, 837.1647, 955.9113, 1350.816, 1364.601, 1803.328, 2184.074, 2385.246]",10,14,217.77322222222224,17,CounterTerrorist,VIC,503.5311865860792,408.9877958685816,2,"[42.791855237059316, 234.11910153926763, 226.52306131854047, 50.091762869909, 417.07071886595236, 8.131845962487304, 66.81141371650901, 205.50104189216702, 630.7723958016669, 176.49416034316286]",232.62903390067825,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,1,0,0,0,0,0,4,6760.143231171684,2.0
76561198162963632,0,1038,10,6,2,2,0,0,10,0,4,"[432.8513, 712.5731, 729.4207, 945.3463, 1798.7020000000002, 1901.07, 1912.573, 1988.747, 2002.031, 2688.348]",10,12,250.61074444444446,16,CounterTerrorist,VIC,439.4387490738937,365.7455228801889,1,"[147.68749021968713, 379.43528721492385, 357.8574129915482, 99.8064910338803, 261.46985922113, 310.58452933519203, 33.4004205727801, 96.90277829686445, 94.66633678885148, 371.56833096524616]",275.48639341617314,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,4257.9574786172725,
76561198301341705,0,1320,15,15,0,0,0,0,11,4,3,"[436.571, 439.7592, 639.1808, 648.5268, 673.7515, 751.7697, 766.6794, 785.9652, 839.3215, 840.1342, 848.0735, 1377.604, 2388.403, 2702.07, 2725.763]",15,9,163.51371428571431,14,CounterTerrorist,VIC,409.4366870735037,415.2223099744246,7,"[182.26305848433557, 145.08390592046123, 321.64363530791746, 355.650746339506, 284.5117111765753, 493.4765480049891, 148.39178095105203, 81.09091446877686, 190.36462697120152, 190.21260218852098, 133.20373840795975, 65.41823748911705, 181.05262957436273, 371.47818544754847, 355.37523121998913]",175.8788694811181,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,7551.92001406653,4.0
76561198253431077,0,1786,11,5,4,0,2,0,11,0,3,"[436.9148, 477.6431, 480.2374, 621.5830000000002, 632.1479, 708.8847, 1905.977, 2001.812, 2689.536, 2704.914, 2784.496]",11,15,234.75812000000005,20,CounterTerrorist,VIC,416.66138740495217,492.009436946685,0,"[84.20057733794289, 534.3636142251032, 530.0285138583216, 368.29447469873014, 336.3298635935751, 542.5535047285447, 204.99469694794843, 215.6806430382834, 464.7000557851377, 345.0331538739742, 336.25898359046766]",259.96396062525247,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,4940.0157363916915,
76561198123786063,0,945,7,7,0,0,0,0,6,1,5,"[1067.031, 1801.578, 1803.672, 1997.218, 2043.041, 2207.454, 2403.25]",7,13,222.70316666666668,15,CounterTerrorist,VIC,482.27796576330667,380.8475586858153,2,"[339.5711402945801, 109.26728138897845, 117.40330720014023, 203.72387112881108, 284.20092758720824, 642.652517034758, 278.5816285226378]",212.53824803800964,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,3,6125.02314694694,
76561198088900139,94,2040,18,16,2,0,0,0,17,1,5,"[423.8492, 489.7084, 508.9941, 823.7553, 826.4435, 920.528, 971.915, 1057.435, 1065.781, 1422.489, 1792.513, 1914.792, 1947.425, 2168.32, 2201.922, 2381.307, 2392.123, 2786.34]",18,10,138.9700470588235,21,Terrorist,ATT,466.3668545135503,352.14998386779473,4,"[88.7291928802572, 320.830137205306, 310.73010349466534, 92.65995947242358, 97.86823717784888, 262.03109876074427, 92.40393815973117, 123.48768292826878, 99.96077806012599, 271.88711314426536, 510.87267043243565, 462.86211715527185, 193.01160307804147, 502.79048750540215, 479.4685009031721, 334.6273396715422, 256.5513483100727, 442.3396734093663]",159.77066356053578,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,3,2,1,0,2,5965.959822264594,
76561198151251227,100,955,8,7,0,0,1,0,8,0,4,"[428.5691, 938.0008, 1067.125, 1331.437, 1362.2879999999998, 1444.057, 1457.935, 2784.371]",8,13,336.54312857142867,11,Terrorist,ATT,445.3715603041528,249.54023812709042,1,"[155.2691656001116, 279.1559617587895, 304.2836882413365, 534.7264650645493, 295.3178553236758, 374.0696557253555, 305.2097371483014, 547.0739836380618]",392.51524543399285,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5472.156877186641,
76561198190781675,100,1681,15,10,4,1,0,0,14,1,5,"[480.8625, 628.8972, 641.0563, 652.309, 834.1953, 1057.998, 1372.227, 1910.604, 1992.029, 1996.842, 2221.708, 2406.063, 2423.098, 2456.575, 2710.635]",15,11,159.26946428571432,18,Terrorist,VIC,407.71112029635407,560.3854605547905,6,"[534.9253543678856, 172.93462031576087, 100.86065059106801, 69.2621558254597, 127.35935358920933, 375.67467816509577, 377.9174137436632, 56.817456633348066, 122.36621816547222, 119.87464771156203, 578.60664760282, 159.22508116700718, 68.40112717470916, 513.0261675495091, 121.94281775110882]",129.77071167023018,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,3,5,6103.148613564889,4.0
76561198169757169,12,1041,8,6,0,0,2,0,8,0,5,"[636.524, 730.8586, 1066.781, 1477.346, 1901.851, 2166.007, 2696.506, 2789.184]",8,10,307.52285714285716,14,Terrorist,ATT,413.96971885357766,530.721592760181,0,"[311.49919211130845, 289.4182142426677, 351.85574112869637, 609.1602117100562, 104.49309131011539, 97.52275992774372, 185.63737856574747, 291.9904964110823]",304.7359006142535,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4439.362444415243,
76561198320372378,75,959,12,10,2,0,0,0,11,1,2,"[437.2586, 547.5344, 713.0107, 728.4830000000002, 839.2589999999999, 948.5658, 1370.8829999999996, 1386.543, 1454.465, 1896.381, 2168.164, 2776.994]",12,7,212.70321818181824,1,Terrorist,VIC,478.8239572626243,793.9090332480819,2,"[117.75720511433258, 215.88160469794514, 565.3299196717124, 379.0921666621626, 51.03862765952946, 90.96672287644117, 549.9784956689145, 409.2881833709126, 537.0104461150336, 696.7764483246567, 73.74766577764997, 60.00400814150615]",207.45292754792493,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4,4322.499730077172,
76561198125742764,0,661,3,3,0,0,0,0,3,0,5,"[441.8712, 535.915, 1731.168]",3,6,644.6483999999998,9,CounterTerrorist,VIC,609.3644515500098,520.3852767263427,1,"[412.63535158235135, 96.82537094968846, 308.4721215168181]",592.5667849672333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2966.9973809584917,
76561198268748349,57,1186,12,10,1,0,0,1,11,1,4,"[453.154, 565.4501, 568.013, 684.7785, 686.56, 1287.734, 1316.769, 1463.9129999999998, 1697.101, 1833.494, 1859.497, 1941.539]",12,4,135.30772727272728,13,CounterTerrorist,ATT,175.36893429518426,198.1402126303364,4,"[54.28024601572126, 125.05933103537994, 125.53674379200844, 403.13993290563, 371.0942894947894, 184.6278089274704, 18.515383498118133, 358.4550473722204, 325.6833044842521, 192.41358850199302, 59.848048185850985, 700.3060483876068]",194.0373456701714,2,0,0,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2,2,3941.663602150754,
76561197971324920,0,457,6,0,1,0,5,0,4,2,3,"[461.5301, 616.2069, 1438.4720000000002, 1710.352, 1784.487, 1819.648]",6,5,271.62358,6,CounterTerrorist,VIC,311.00590992396184,355.2347460948258,2,"[340.3921246835654, 554.4833225738104, 698.6982112384778, 30.162618177790563, 181.0535327407405, 208.5013289163656]",245.2454208465601,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,4182.136328213258,
