"ID","damage","kills","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","fast_kill_rating..first_kill.","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","times.in.catwalk_box","times.in.topmid_box","times.in.chair_box","times.in.midlane_box","times.in.underpass_box","times.in.window_box","times.in.stairs_box","times.in.tetris_box","times.in.sandwhich_box","times.in.Asite_box","times.in.firebox_box","times.in.jungle_box","times.in.connector_box","times.in.opening_box","times.in.opening2_box","times.in.A_main_box","times.in.T_ramp_box","times.in.hell_box","times.in.palace_box","times.in.pillars_box","times.in.ticket_box","times.in.CT_ramp_box","alone_death","total_distance_traveled","Role"
76561198011691504,17,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.7088981,1
76561198012411200,302,2,1,0,0,1,0,2,0,4,2,9,335.921,2,0,476.9464787,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1472.884444,3
76561198354863200,336,3,1,0,1,1,0,3,0,5,3,8,364.876,3,1,316.965606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1970.18644,1
76561198107577104,515,6,2,2,1,0,0,5,1,4,6,7,173.16792,6,0,221.942306,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,2845.619061,2
76561198130877904,754,8,8,0,0,0,0,4,4,5,8,7,128.5741,12,3,131.3361092,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,2676.054478,0
76561198362206400,697,6,4,1,0,1,0,6,0,4,6,6,147.1011,5,5,39.31073619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3480.265276,4
76561198252651296,540,3,1,2,0,0,0,3,0,5,3,7,367.56515,7,0,302.283622,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1682.968433,3
76561198304422592,375,2,2,0,0,0,0,2,0,5,2,7,116.2626,6,2,250.7312944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2828.780394,1
76561198350397200,673,7,4,3,0,0,0,4,3,4,7,4,148.7053333,6,1,154.8538596,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,4008.362045,2
76561198282050704,769,6,6,0,0,0,0,5,1,3,6,5,171.7672,9,2,150.1199283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3401.61875,4
76561198232256704,1001,10,9,1,0,0,0,9,1,4,10,4,85.34323333,10,4,19.34785403,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,4,0,0,0,0,2,2195.51535,1
76561198189342208,995,10,8,0,2,0,0,8,2,5,10,6,72.01526667,1,0,44.45090091,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,1,1,0,2,3969.039056,1
76561198098776400,1072,9,7,0,2,0,0,8,1,5,9,7,192.2336125,12,1,208.8953374,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3203.993642,1
76561198141423008,1008,11,1,9,1,0,0,9,2,5,11,6,165.76865,13,3,156.6259088,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,2,0,0,0,2,3342.030154,3
76561198222563504,1000,11,8,0,1,2,0,5,6,5,11,4,185.02438,12,5,216.9197205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5053.412711,4
76561197973138896,410,3,0,0,0,3,0,2,1,4,3,8,650.85235,8,1,578.3071059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2753.029526,3
76561198163229296,667,5,2,0,2,0,0,3,2,4,5,6,278.318,9,0,167.1333859,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3296.92591,0
76561198121019392,889,7,5,0,0,2,0,7,0,4,7,8,275.3954667,12,0,255.0224127,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,4038.920591,2
76561198200132096,895,9,0,4,4,1,0,8,1,5,9,8,230.022325,9,0,206.9656275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,3167.664111,3
76561198342010304,447,3,3,0,0,0,0,2,1,5,3,7,524.142,8,0,512.250959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3627.396528,0
76561198218888400,497,5,3,1,1,0,0,4,1,3,5,8,412.88975,9,0,249.912909,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3478.12094,0
76561198351614000,693,5,3,0,2,0,0,2,3,4,5,6,376.7071,6,2,420.4747883,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,4601.159997,4
76561198050911904,1141,14,9,2,3,0,0,10,4,5,14,4,175.4904154,12,4,164.1302128,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,4613.027508,1
76561198240900400,1039,14,9,3,2,0,0,8,6,5,14,6,164.6046077,12,2,139.3354572,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4802.795376,2
76561198322385696,911,7,5,0,0,2,0,6,1,4,7,13,363.9774333,11,2,376.3047403,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4492.652591,4
76561197987779104,744,6,1,1,1,3,0,4,2,5,6,8,355.1201,10,0,304.339788,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,3098.783262,0
76561198143322304,618,14,3,1,0,10,0,14,0,4,14,7,162.8496077,7,1,131.6838629,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3856.280836,1
