ID,damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),total kills,total deaths,avg kill time,assists,alone kills,Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled
7.65612E+16,16,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908.1335667
7.65612E+16,82,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.1722168
7.65612E+16,340,2,1,0,0,0,0,2,0,5,2,3,1013.9296,5,0,886.9104065,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,870.9422588
7.65612E+16,304,3,3,0,0,0,0,3,0,3,3,3,767.8249,5,0,801.4477942,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1095.169714
7.65612E+16,49,1,0,1,0,0,0,1,0,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,700.2372068
7.65612E+16,345,3,3,0,0,0,0,2,1,5,3,2,524.142,4,0,512.250959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1671.939031
7.65612E+16,223,2,2,0,0,0,0,2,0,4,2,2,1522.6765,3,0,1275.781173,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,527.9252362
7.65612E+16,566,5,3,0,2,0,0,2,3,3,5,1,376.7071,3,2,420.4747883,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,2095.442475
7.65612E+16,597,7,4,2,1,0,0,5,2,5,7,1,380.2292333,6,1,355.6154611,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1567.47317
7.65612E+16,363,5,3,1,1,0,0,3,2,5,5,1,98.01875,4,0,119.2681733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1222.876114
7.65612E+16,395,3,3,0,0,0,0,2,1,4,3,2,1091.9323,3,2,1128.914221,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1595.044531
7.65612E+16,72,2,0,0,0,2,0,0,2,5,2,2,0.093,2,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,475.2601429
7.65612E+16,81,3,3,0,0,0,0,3,0,5,3,1,0.344,1,0,0.124674473,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,545.0830933
7.65612E+16,191,2,1,0,0,1,0,1,1,5,2,2,1907.4592,2,1,1521.162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773.8563061
7.65612E+16,438,3,3,0,0,0,0,3,0,4,3,7,1125.68595,6,3,1056.866604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,882.0511115
7.65612E+16,134,1,1,0,0,0,0,0,1,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.5001754
7.65612E+16,143,1,1,0,0,0,0,0,1,3,1,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,579.8995785
7.65612E+16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.65612E+16,300,3,0,3,0,0,0,3,0,5,3,2,485.8262,2,0,426.7275382,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,550.7504843
7.65612E+16,199,2,0,1,1,0,0,2,0,5,2,2,381.947,1,0,178.5772534,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,696.5462386
7.65612E+16,428,4,0,3,1,0,0,1,3,4,4,1,324.0718,6,1,384.3671894,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1719.534733
7.65612E+16,371,3,3,0,0,0,0,3,0,5,3,2,6.642,6,0,46.05482533,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,995.5709226
7.65612E+16,86,1,0,1,0,0,0,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,781.9120282
7.65612E+16,245,3,3,0,0,0,0,2,1,4,3,3,28.4895,4,3,80.70287511,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,766.4329219
7.65612E+16,70,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.8749307
7.65612E+16,169,2,2,0,0,0,0,1,1,4,2,2,50.2283,3,1,195.3568629,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,863.7129535
7.65612E+16,342,3,3,0,0,0,0,3,0,5,3,2,15.0341,4,0,77.0965088,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1274.975892
7.65612E+16,96,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.4560187
7.65612E+16,66,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142.022233
7.65612E+16,188,1,0,1,0,0,0,1,0,4,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,87.50754508
7.65612E+16,79,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41982732
7.65612E+16,21,1,1,0,0,0,0,0,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,119.6413848
7.65612E+16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.65612E+16,126,1,1,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,346.3537103
7.65612E+16,38,2,0,2,0,0,0,1,1,5,2,0,12.627,2,0,8.687737075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14.04865523
7.65612E+16,200,2,2,0,0,0,0,2,0,5,2,1,8.9702,2,0,93.13507771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,345.5192067
7.65612E+16,80,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.168899919
7.65612E+16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
