003232530852420255835_1108402081.dem,"[8, 19, 20, 25, 28]"
003232547196918300791_1442471391.dem,"[4, 6, 11]"
003232636910195179817_1981362221.dem,"[10, 13, 18, 23]"
003232650499471704217_1135739685.dem,[19]
003232653894643351796_1527055066.dem,"[7, 10, 14, 21, 23, 25, 30]"
003232669874069176830_1033315074.dem,"[19, 21]"
003232681852732965066_1456619064.dem,"[6, 9, 24, 28]"
003232684519907655957_1117155498.dem,"[6, 20]"
003232684988059091074_2097821637.dem,[7]
003232690803444809985_2019153987.dem,"[13, 14, 22, 26]"
003232693180709208199_0051068036.dem,"[7, 12, 15, 19, 21, 27]"
003232693648860643493_1644470372.dem,"[11, 13, 22, 24]"
003232711017708388418_0192953626.dem,"[4, 8, 13]"
003232723977772204149_0659177081.dem,"[4, 5]"
003232732619246403669_0232430236.dem,[21]
003232734283546230859_1018801805.dem,"[6, 8, 11]"
003232762016150061154_0492566440.dem,[14]
003232830434979086644_2012796825.dem,"[5, 10, 11, 22]"
003232842819517284508_0402619026.dem,[9]
003232847468819382281_0512891179.dem,"[6, 13, 20, 21]"
003232848785226858809_0406587923.dem,"[4, 8, 13, 20, 21]"
003232855347936886898_1932233241.dem,"[8, 15, 18, 23, 24]"
003232862857687204041_1414135043.dem,"[6, 14, 17]"
003232863220611940644_0229842886.dem,"[9, 20, 24]"
003232869482674257989_1052549553.dem,"[19, 28]"
003232880196470177805_1637480429.dem,"[9, 21]"
003232885678995931144_0946388398.dem,"[7, 14, 19, 20, 26, 28]"
003232887184381968478_0646171118.dem,"[4, 19, 26]"
003232904538197327897_1276700100.dem,"[5, 8, 12, 14]"
003232917908430520367_1826751484.dem,"[12, 19, 20]"
003232920672241975356_0901023567.dem,"[11, 20]"
003232965400031395918_0712060679.dem,"[4, 21]"
003233020259648668013_1596338643.dem,"[12, 15, 26]"
003233052899252633887_2016176054.dem,"[24, 28, 29]"
003233053734623773010_0510511712.dem,[7]
003233061864996864285_1792317649.dem,"[10, 13, 21, 23]"
003233067480666603527_0581561641.dem,[11]
003233068114174279823_0932573543.dem,"[4, 6, 9, 10, 15]"
003233079697701077031_2063636213.dem,"[7, 15]"
003233085661263167695_1070057074.dem,"[6, 11, 19, 24]"
003233117912172593201_2046268261.dem,"[8, 19]"
003233125443397746784_0282790117.dem,"[7, 20, 21, 22, 23]"
003233170072402919648_1284336705.dem,"[13, 22]"
003233176059587330310_1819177345.dem,"[5, 6, 11, 21]"
003233186919412138436_1895811654.dem,"[4, 6, 7, 9, 12, 20]"
003233187965236674575_0420690632.dem,[28]
003233201406336827772_0383922884.dem,"[4, 9, 13, 15, 20, 21]"
003233202437128978913_0201284879.dem,"[3, 13, 14]"
003233210211019784520_1708600506.dem,"[5, 11, 15, 20]"
003233223254835462591_1328320497.dem,[4]
003233231859802440104_2021805676.dem,"[2, 4, 7, 8, 10, 18, 25, 27]"
003233237103957508113_1798556507.dem,"[6, 18, 25]"
003233283405852442680_1651134092.dem,"[5, 13, 22, 25, 26, 28]"
003233321190827229225_1603291716.dem,"[8, 11]"
003233399445131362693_0029373238.dem,"[8, 10]"
003233404036451402071_1599284223.dem,"[8, 12, 18, 24]"
003233407315658932465_1549463913.dem,"[6, 11, 13, 20]"
003233411161802146101_0875133982.dem,"[4, 26]"
003233423514128089108_0008581734.dem,"[3, 5, 11, 12, 13, 22]"
003233434232218976454_1951633927.dem,[24]
003233451751390576715_1161379664.dem,[13]
003233453776467656736_0936892723.dem,[7]
003233491329514209327_0650248629.dem,"[3, 10]"
003233574179433349133_1323376924.dem,"[22, 25, 26, 30]"
003233594159621210405_0093216870.dem,[15]
003233616972340002863_0739314933.dem,[10]
003233619164920807591_1405677603.dem,"[6, 10]"
003233622201462685831_0678639679.dem,"[5, 10, 11, 24]"
003233640051346768006_1723656844.dem,"[4, 5, 10, 13]"
003233738988065914902_1644321676.dem,[15]
003233755566639677682_0741382478.dem,"[12, 26]"
003233782751635177813_0862915176.dem,"[3, 15, 25]"
003233790053079581016_0891718319.dem,"[9, 14, 19, 20, 24, 27]"
003233790469691408394_0331711948.dem,"[13, 29]"
003233794053841617099_1299318422.dem,"[6, 10, 13, 18, 26]"
003233796368828989725_1955392375.dem,"[4, 11, 19, 20, 24]"
003233802568614281438_1528352992.dem,"[5, 20, 28]"
