"damage","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","alone_death","total_distance_traveled","Role"
1072,7,0,2,0,0,8,1,9,7,192.2336125,12,1,208.8953374,2,3203.993642,"1"
1008,1,9,1,0,0,9,2,11,6,165.76865,13,3,156.6259088,2,3342.030154,"3"
1000,8,0,1,2,0,5,6,11,4,185.02438,12,5,216.9197205,0,5053.412711,"4"
667,2,0,2,0,0,3,2,5,6,278.318,9,0,167.1333859,0,3296.92591,"0"
889,5,0,0,2,0,7,0,7,8,275.3954667,12,0,255.0224127,1,4038.920591,"2"
895,0,4,4,1,0,8,1,9,8,230.022325,9,0,206.9656275,1,3167.664111,"3"
497,3,1,1,0,0,4,1,5,8,412.88975,9,0,249.912909,3,3478.12094,"0"
693,3,0,2,0,0,2,3,5,6,376.7071,6,2,420.4747883,2,4601.159997,"4"
1141,9,2,3,0,0,10,4,14,4,175.4904154,12,4,164.1302128,1,4613.027508,"1"
1039,9,3,2,0,0,8,6,14,6,164.6046077,12,2,139.3354572,1,4802.795376,"2"
744,1,1,1,3,0,4,2,6,8,355.1201,10,0,304.339788,3,3098.783262,"0"
618,3,1,0,10,0,14,0,14,7,162.8496077,7,1,131.6838629,1,3856.280836,"1"
1205,10,1,0,1,0,11,1,12,17,189.0036545,12,3,182.576284,8,4105.077695,"4"
1257,11,1,0,0,0,12,0,12,11,204.6701727,16,4,192.1575644,7,4954.003861,"4"
648,6,0,0,2,0,7,1,8,13,281.6470286,6,1,252.9967317,5,3204.601897,"0"
655,5,0,0,2,0,6,1,7,12,192.91175,6,1,202.2380562,1,3393.01536,"0"
522,0,5,0,0,0,5,0,5,5,300.39275,4,2,279.8966254,0,1745.715229,"3"
707,1,6,1,0,0,8,0,8,3,170.0902,7,1,96.72120301,1,2200.69324,"3"
973,2,5,2,0,0,6,3,9,4,150.899675,13,1,105.4491932,2,4631.513249,"3"
732,6,0,0,1,0,7,0,7,3,129.7641,9,0,117.3355922,0,2998.242958,"1"
506,3,1,0,0,0,3,1,4,7,186.3684667,8,3,30.44325739,2,2456.131651,"4"
270,1,1,0,0,0,2,0,2,6,14.3152,5,0,6.52482318,1,2129.739278,"2"
612,3,2,1,0,0,6,0,6,5,187.09792,6,0,183.0586412,1,2912.418598,"3"
302,1,1,0,0,0,2,0,2,2,545.928,3,0,676.5842155,0,1829.80378,"4"
201,1,0,0,1,0,1,1,2,3,860.4144,4,0,786.4302956,0,2480.055351,"4"
1259,10,2,0,0,0,9,3,12,11,243.6974818,15,3,229.807567,5,5963.23619,"2"
1812,13,1,0,1,0,10,5,15,9,168.5561643,19,8,196.3699598,5,5947.698075,"4"
2006,18,0,0,0,1,15,4,19,9,146.2502556,16,3,144.3483541,3,8845.295245,"0"
578,2,2,0,0,0,6,0,6,14,461.49868,8,2,467.9969694,2,6229.489631,"0"
634,0,4,1,0,0,4,1,5,13,38.548,12,0,19.3005319,2,4240.73692,"3"
1696,10,1,0,1,0,12,1,13,11,223.8581583,19,1,198.0273124,2,7088.750597,"2"
1087,9,0,0,0,0,7,2,9,11,327.4299625,14,1,332.0080194,1,4627.942097,"0"
1592,8,1,3,1,0,12,2,14,11,203.5342385,17,4,172.179064,5,6655.735673,"4"
1311,11,1,1,0,0,11,2,13,10,210.579175,17,3,207.0813026,2,4767.560759,"2"
1082,8,0,0,1,1,10,0,10,6,206.9145667,13,1,168.3888362,0,2771.179789,"2"
757,3,5,0,2,1,10,1,11,6,182.62805,9,1,187.8047145,2,3137.383245,"3"
767,8,0,0,1,0,8,1,9,6,225.18235,10,1,206.2241667,2,3263.297904,"2"
728,1,2,0,1,0,4,0,4,7,579.4888,9,0,544.8319224,2,2471.160477,"3"
958,8,1,1,1,0,9,2,11,7,182.10599,11,6,137.4654153,2,2966.860296,"4"
898,2,8,0,0,0,10,0,10,7,209.0890111,11,1,178.2623793,1,3922.849329,"3"
417,2,0,0,0,0,2,0,2,8,1319.028,5,0,1211.592959,0,2232.340114,"0"
359,3,0,0,1,0,2,2,4,6,395.805,2,3,328.3057156,3,2456.881253,"4"
2370,16,2,0,3,0,19,2,21,12,111.67909,25,2,111.9349077,2,6723.75896,"1"
